title,description,category,priority
"Accident near main road","Two people injured in road accident","Road","High"
"Water pipeline burst","Major water leakage near village","Water","High"
"Street light not working","One light not working in lane","Electricity","Low"
"Garbage not collected","Garbage smell in front of house","Sanitation","Medium"
"Road potholes","Multiple potholes causing accidents","Road","High"
"Low water pressure","Water comes very slowly in tap","Water","Medium"
"Drainage blocked","Dirty water overflowing in street","Sanitation","High"
"Tree fallen on road","Tree blocking the road","Road","High"
"Street dog issue","Stray dogs chasing kids","Other","Medium"
"Electric bill issue","Bill too high compared to normal","Electricity","Low"
